Date,Open,High,Low,Close,Adj Close,Volume
1989-06-12,233.035995,233.035995,233.035995,233.035995,88.718544,0
1989-06-13,234.906006,234.906006,234.906006,234.906006,89.430496,0
1989-06-14,238.020996,238.020996,238.020996,238.020996,90.616394,0
1989-06-15,235.528000,235.528000,235.528000,235.528000,89.667297,0
1989-06-16,238.020996,238.020996,238.020996,238.020996,90.616394,0
1989-06-19,238.020996,238.020996,238.020996,238.020996,90.616394,0
1989-06-20,239.891006,239.891006,239.891006,239.891006,91.328316,0
1989-06-21,239.266998,239.266998,239.266998,239.266998,91.090752,0
1989-06-22,239.266998,239.266998,239.266998,239.266998,91.090752,0
1989-06-23,236.774994,236.774994,236.774994,236.774994,90.142029,0
1989-06-26,239.266998,239.266998,239.266998,239.266998,91.090752,0
1989-06-27,245.498001,245.498001,245.498001,245.498001,93.462982,0
1989-06-28,247.990005,247.990005,247.990005,247.990005,94.411667,0
1989-06-29,243.628998,243.628998,243.628998,243.628998,92.751366,0
1989-06-30,239.891006,239.891006,239.891006,239.891006,91.328316,0
1989-07-03,241.759003,241.759003,241.759003,241.759003,92.039444,0
1989-07-04,241.136993,241.136993,241.136993,241.136993,91.802650,0
1989-07-05,240.514008,240.514008,240.514008,240.514008,91.565498,0
1989-07-06,239.266998,239.266998,239.266998,239.266998,91.090752,0
1989-07-07,243.005997,243.005997,243.005997,243.005997,92.514236,0
1989-07-10,244.251999,244.251999,244.251999,244.251999,92.988602,0
1989-07-11,245.498001,245.498001,245.498001,245.498001,93.462982,0
1989-07-12,244.251999,244.251999,244.251999,244.251999,92.988602,0
1989-07-13,254.220993,254.220993,254.220993,254.220993,96.783875,0
1989-07-14,259.205994,259.205994,259.205994,259.205994,98.681686,0
1989-07-17,256.713989,256.713989,256.713989,256.713989,97.732941,0
1989-07-18,254.220993,254.220993,254.220993,254.220993,96.783875,0
1989-07-19,255.468002,255.468002,255.468002,255.468002,97.258591,0
1989-07-20,254.220993,254.220993,254.220993,254.220993,96.783875,0
1989-07-21,251.729004,251.729004,251.729004,251.729004,95.835136,0
1989-07-24,247.990005,247.990005,247.990005,247.990005,94.411667,0
1989-07-25,251.729004,251.729004,251.729004,251.729004,95.835136,0
1989-07-26,251.106003,251.106003,251.106003,251.106003,95.597977,0
1989-07-27,256.713989,256.713989,256.713989,256.713989,97.732941,0
1989-07-28,262.945007,262.945007,262.945007,262.945007,100.105125,0
1989-07-31,262.945007,262.945007,262.945007,262.945007,100.105125,0
